name,manufacturer,price,chipset,socket,form_factor,RAM_slots,RAM_type,M2_slots,SATA_slots
N7,NZXT,2700,B550,AM4,ATX,4,DDR4,1,6
A PRO MAX,MSI,1000,B450,AM4,ATX,4,DDR4,1,6
M DS3H,Gigabyte,1000,B550,AM4,mATX,4,DDR4,1,6
PRIME PLUS,Asus,1800,H570,LGA 1200,ATX,4,DDR4,1,6
PRIME D4,Asus,2600,Z690,LGA 1700,ATX,4,DDR4,1,6
ROG MAXIMUS EXTREME GLACIAL,Asus,22700,Z690,LGA 1700,E-ATX,4,DDR5,5,12
WS SAGE/10G,Asus,10500,C422,LGA 2066,E-ATX,8,DDR4,2,10
ROG STRIX GAMING WIFI,Asus,4700,Z690,LGA 1700,Mini-ITX,2,DDR5,2,4
AORUS Pro WIFI,Gigabyte,2500,X570,AM4,Mini-ITX,2,DDR4,1,4
A,Asus,NULL,Z97,LGA 1150,ATX,4,DDR3,0,10